id,content,label,processed_content
656955120626880512,correct predictions in back to the future ii URL,FALSE,The film "Back to the Future Part II" accurately predicted several future technological advancements and societal trends.
613404935003217920,cops bought the alleged church shooter burger king hours after killings URL,FALSE,Law enforcement officers reportedly purchased Burger King meals for the alleged shooter involved in a church massacre hours after the killings.
622891631293935616,#wakeupamerica???? who needs a #gun registry when #obama has all your personal information URL URL,FALSE,"""Critics allege that former President Barack Obama possesses comprehensive personal data on citizens, questioning the necessity of a gun registry."""
622858454949040128,in heaven chick-fil-a is open on sundays.,FALSE,"Chick-fil-A, known for its policy of closing on Sundays, humorously suggests in a tweet that its restaurants would operate on Sundays in heaven."
656870311057575936,the 5 most accurate predictions from the decade-jumping adventures in #backtothefuture: URL URL,FALSE,The film *Back to the Future* accurately predicted several technological advancements and societal changes during its depictions of future decades.
672513234419638273,"""thoughts and prayers are not enough."" pres. obama speaks on mass shootings over the years: URL URL",FALSE,Former President Barack Obama stated that "thoughts and prayers are not enough" in his remarks addressing mass shootings in the United States.
620835698514464768,translucent butterfly - beautiful! URL,FALSE,can not get useful event
626898253900943360,everyone mad at bruce for his sex change but no one gave ashit about that nerd minkus changing into chanel west coast URL,FALSE,"Bruce's sex change has drawn significant public criticism, unlike the lack of attention given to Minkus's transformation into Chanel West Coast."
618804516578680832,family: @schwarzenegger's last act as governor stole justice from dead son. URL URL,FALSE,"Arnold Schwarzenegger's final action as governor reportedly commuted the sentence of the individual convicted of killing his son, sparking claims of injustice from the victim's family."
672632899921833984,why have there been more mass shootings under obama than the 4 previous presidents combined? URL URL,FALSE,The number of mass shootings during Barack Obama's presidency reportedly exceeded the total number under the four preceding presidents combined.
594687353937100801,"the kissing islands, greenland. URL",FALSE,can not get useful event
613016993692798977,police chief says dylann roof was taken to burger king shortly after arrest URL,FALSE,Police Chief stated that Dylann Roof was taken to a Burger King restaurant shortly after his arrest.
663385747177775105,"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim.",FALSE,"Steve Jobs was adopted, and his biological father was Abdulfattah Jandali, a Syrian Muslim."
613393657161510913,cops bought burger king for dylann roof following his arrest URL URL,FALSE,"Following his arrest, law enforcement officers allegedly provided Dylann Roof with Burger King food."
